deposit_avg,monthly_avg,safe_score,cvt_score
4397,54,8,1
4424,61,6,8
2354,67,9,4
3439,47,3,1
3613,44,6,1
3231,51,8,3
3355,61,6,9
2405,54,4,5
3661,46,6,5
4336,43,3,1
3240,54,3,4
3766,49,5,9
2540,70,7,3
2848,51,7,8
2936,70,8,4
4207,42,9,3
2987,58,8,5
2947,70,7,5
3770,64,3,9
4386,67,9,8
2741,62,6,6
3084,42,4,2
3648,51,7,6
2784,48,2,5
4358,47,7,3
3345,57,7,4
2915,50,9,8
3879,63,6,5
3171,41,3,4
3581,63,4,6
3723,54,3,3
3531,50,9,2
3953,61,7,9
2732,67,2,4
2714,66,8,1
2964,63,3,7
3047,67,5,3
4231,49,7,5
2736,60,3,3
2313,69,6,6
3805,43,3,1
3757,55,2,9
4441,52,8,8
2684,56,1,4
3229,70,1,6
2754,62,3,6
4099,46,2,2
2310,42,6,5
2816,66,4,1
3342,52,8,6
2782,69,4,1
2517,45,9,1
3141,51,9,6
2188,42,4,8
3997,65,8,5
3909,66,2,3
2812,60,5,5
2818,66,8,4
3068,55,2,3
4326,65,2,6
3106,62,4,9
4057,67,9,1
3351,57,8,1
3535,50,3,1
3574,43,2,5
3995,70,9,2
4102,48,8,4
3172,65,9,4
3262,44,1,2
3579,56,9,7
2573,52,6,1
3208,69,9,4
3552,57,5,8
2662,45,2,1
2121,42,3,2
4365,41,4,7
2330,45,4,5
2197,47,2,9
2700,52,9,4
3631,63,3,7
2372,49,6,1
4130,58,3,3
2397,59,9,6
3152,60,8,8
2800,68,6,7
4347,48,1,8
3731,48,6,9
2917,66,4,7
2750,51,4,1
4134,54,5,5
2895,56,4,3
3733,44,5,2
2706,60,9,1
3659,59,7,6
4405,57,3,6
4157,64,3,4
4012,45,4,8
3753,61,1,8
2268,46,8,9
3191,69,4,5
2100,49,3,4
2163,53,3,9
2241,47,7,9
3942,48,5,2
4363,46,6,9
2900,40,9,1
3832,48,8,2
4085,69,7,1
3714,53,6,8
2955,47,6,7
2901,62,7,2
3678,40,5,1
3838,40,2,7
3079,53,7,7
4263,70,6,6
2285,41,7,1
2869,48,2,9
4174,49,3,7
3520,68,1,3
4332,56,6,7
2573,70,3,4
4375,59,3,9
3015,70,8,7
4271,63,9,2
