line_number,timestamp,thread,log_level,class_name,pool_name,log_type,total,active,idle,waiting,connection_wrapper,close_reason,message,raw_log
839,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,1,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=1)","15:01:10.965 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=1)"
882,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,6,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=6)","15:01:10.994 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=6)"
913,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,9,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=9)","15:01:10.997 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=9)"
950,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,8,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=8)","15:01:10.999 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=8)"
954,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,5,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=5)","15:01:11.000 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=5)"
955,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,5,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=5)","15:01:11.000 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=5)"
986,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,4,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=4)","15:01:11.001 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=4)"
990,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,0,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=0)","15:01:11.003 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=0)"
1000,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,0,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=0)","15:01:11.004 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=0)"
1016,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,0,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=0)","15:01:11.005 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=0)"
1035,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,0,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=0)","15:01:11.006 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=0)"
1054,01:11.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,8,2,0,,,"HikariPool-1 - Connection not added, stats (total=10, active=8, idle=2, waiting=0)","15:01:11.007 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=8, idle=2, waiting=0)"
5089,01:30.4,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,POOL_STATS,10,0,10,0,,,"HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)","15:01:30.386 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)"
5090,01:30.4,HikariPool-1 housekeeper,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,FILL_POOL,,,,,,,"HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.","15:01:30.386 [HikariPool-1 housekeeper] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled."
5094,01:34.3,SpringApplicationShutdownHook,INFO,com.zaxxer.hikari.HikariDataSource,HikariPool-1,SHUTDOWN_INITIATED,,,,,,,HikariPool-1 - Shutdown initiated...,15:01:34.285 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
5095,01:34.3,SpringApplicationShutdownHook,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,BEFORE_SHUTDOWN_STATS,10,0,10,0,,,"HikariPool-1 - Before shutdown stats (total=10, active=0, idle=10, waiting=0)","15:01:34.285 [SpringApplicationShutdownHook] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Before shutdown stats (total=10, active=0, idle=10, waiting=0)"
5096,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@5b5a89d1,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@5b5a89d1: (connection evicted),15:01:34.286 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@5b5a89d1: (connection evicted)
5097,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@13e921c7,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@13e921c7: (connection evicted),15:01:34.287 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@13e921c7: (connection evicted)
5098,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@397133e8,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@397133e8: (connection evicted),15:01:34.288 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@397133e8: (connection evicted)
5099,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@41839cb4,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@41839cb4: (connection evicted),15:01:34.288 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@41839cb4: (connection evicted)
5100,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@5a87134e,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@5a87134e: (connection evicted),15:01:34.288 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@5a87134e: (connection evicted)
5101,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@1ec335a7,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@1ec335a7: (connection evicted),15:01:34.289 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@1ec335a7: (connection evicted)
5102,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@39f35e,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@39f35e: (connection evicted),15:01:34.290 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@39f35e: (connection evicted)
5103,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@1955d3b4,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@1955d3b4: (connection evicted),15:01:34.290 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@1955d3b4: (connection evicted)
5104,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@6f70bf84,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@6f70bf84: (connection evicted),15:01:34.291 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@6f70bf84: (connection evicted)
5105,01:34.3,HikariPool-1 connection closer,DEBUG,com.zaxxer.hikari.pool.PoolBase,HikariPool-1,CONNECTION_CLOSING,,,,,com.p6spy.engine.wrapper.ConnectionWrapper@452e85f7,connection evicted,HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@452e85f7: (connection evicted),15:01:34.291 [HikariPool-1 connection closer] DEBUG com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Closing connection com.p6spy.engine.wrapper.ConnectionWrapper@452e85f7: (connection evicted)
5106,01:34.3,SpringApplicationShutdownHook,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,AFTER_SHUTDOWN_STATS,0,0,0,0,,,"HikariPool-1 - After shutdown stats (total=0, active=0, idle=0, waiting=0)","15:01:34.292 [SpringApplicationShutdownHook] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - After shutdown stats (total=0, active=0, idle=0, waiting=0)"
5107,01:34.3,SpringApplicationShutdownHook,INFO,com.zaxxer.hikari.HikariDataSource,HikariPool-1,SHUTDOWN_COMPLETED,,,,,,,HikariPool-1 - Shutdown completed.,15:01:34.293 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
