line_number,timestamp,thread,log_level,class_name,bottleneck_point,point_description,total_duration_ms,rdb_time_ms,rdb_time_percent,rdb_call_count,total_property_count,raw_header
1792,2026-01-06 15:40:58.071,http-nio-8185-exec-11,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,194,70,36.1,10,217,2026-01-06 15:40:58.071 [http-nio-8185-exec-11] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
3077,2026-01-06 15:40:58.166,http-nio-8185-exec-14,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,271,119,43.9,13,739,2026-01-06 15:40:58.166 [http-nio-8185-exec-14] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
3088,2026-01-06 15:40:58.166,http-nio-8185-exec-9,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,210,78,37.1,14,122,2026-01-06 15:40:58.166 [http-nio-8185-exec-9] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
3448,2026-01-06 15:40:58.189,http-nio-8185-exec-19,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,228,101,44.3,15,54,2026-01-06 15:40:58.189 [http-nio-8185-exec-19] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
3633,2026-01-06 15:40:58.203,http-nio-8185-exec-16,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,227,78,34.4,16,256,2026-01-06 15:40:58.203 [http-nio-8185-exec-16] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
3856,2026-01-06 15:40:58.223,http-nio-8185-exec-1,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,318,138,43.4,16,765,2026-01-06 15:40:58.223 [http-nio-8185-exec-1] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
3885,2026-01-06 15:40:58.225,http-nio-8185-exec-6,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,253,89,35.2,16,75,2026-01-06 15:40:58.225 [http-nio-8185-exec-6] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
3954,2026-01-06 15:40:58.227,http-nio-8185-exec-4,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,328,135,41.2,15,686,2026-01-06 15:40:58.227 [http-nio-8185-exec-4] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4064,2026-01-06 15:40:58.236,http-nio-8185-exec-20,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,327,133,40.7,17,644,2026-01-06 15:40:58.236 [http-nio-8185-exec-20] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4154,2026-01-06 15:40:58.267,http-nio-8185-exec-8,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,263,88,33.5,17,107,2026-01-06 15:40:58.267 [http-nio-8185-exec-8] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4164,2026-01-06 15:40:58.267,http-nio-8185-exec-12,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,362,137,37.8,15,262,2026-01-06 15:40:58.267 [http-nio-8185-exec-12] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4225,2026-01-06 15:40:58.273,http-nio-8185-exec-13,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,289,146,50.5,17,233,2026-01-06 15:40:58.273 [http-nio-8185-exec-13] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4337,2026-01-06 15:40:58.284,http-nio-8185-exec-17,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,326,142,43.6,19,519,2026-01-06 15:40:58.284 [http-nio-8185-exec-17] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4395,2026-01-06 15:40:58.288,http-nio-8185-exec-2,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,319,115,36.1,17,251,2026-01-06 15:40:58.288 [http-nio-8185-exec-2] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4411,2026-01-06 15:40:58.290,http-nio-8185-exec-5,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,323,140,43.3,19,299,2026-01-06 15:40:58.290 [http-nio-8185-exec-5] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4484,2026-01-06 15:40:58.298,http-nio-8185-exec-18,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,280,143,51.1,18,276,2026-01-06 15:40:58.298 [http-nio-8185-exec-18] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4521,2026-01-06 15:40:58.300,http-nio-8185-exec-15,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,318,179,56.3,20,702,2026-01-06 15:40:58.300 [http-nio-8185-exec-15] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
4537,2026-01-06 15:40:58.304,http-nio-8185-exec-7,WARN,c.w.r.s.CharterRecommendationService,2.1.1,Origin N+1,356,144,40.4,18,503,2026-01-06 15:40:58.304 [http-nio-8185-exec-7] WARN  c.w.r.s.CharterRecommendationService - === [Bottleneck Point: 2.1.1 (Origin N+1)] ===
