thread_id,first_timestamp,last_timestamp,total_duration_ms,rdb_time_ms,rdb_percentage,rdb_call_count,property_count,status,event_sequence
exec-1,15:01:12.112,15:01:12.114,5537,325,5.9,25,8660,SUCCESS_NORMAL,[15:01:12.112] === Bottleneck Point 시작 === → [15:01:12.112] 총 소요 시간: 5537ms → [15:01:12.113] RDB 조회 시간: 325ms (5.9%) → [15:01:12.113] RDB 호출 횟수: 25회 → [15:01:12.113] 총 매물 수: 8660건 → [15:01:12.113] === Bottleneck Point 종료 === → [15:01:12.113] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.113] S-06: 전세 최종 응답 생성 시작 → [15:01:12.114] 전세 지역구 추천 서비스 완료 → [15:01:12.114] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-2,15:01:12.125,15:01:12.126,5539,296,5.3,25,8660,SUCCESS_NORMAL,[15:01:12.125] === Bottleneck Point 시작 === → [15:01:12.125] 총 소요 시간: 5539ms → [15:01:12.125] RDB 조회 시간: 296ms (5.3%) → [15:01:12.125] RDB 호출 횟수: 25회 → [15:01:12.125] 총 매물 수: 8660건 → [15:01:12.125] === Bottleneck Point 종료 === → [15:01:12.125] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.126] S-06: 전세 최종 응답 생성 시작 → [15:01:12.126] 전세 지역구 추천 서비스 완료 → [15:01:12.126] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-3,15:01:12.009,15:01:12.011,5435,329,6.1,25,8660,SUCCESS_NORMAL,[15:01:12.009] === Bottleneck Point 시작 === → [15:01:12.009] 총 소요 시간: 5435ms → [15:01:12.009] RDB 조회 시간: 329ms (6.1%) → [15:01:12.009] RDB 호출 횟수: 25회 → [15:01:12.009] 총 매물 수: 8660건 → [15:01:12.009] === Bottleneck Point 종료 === → [15:01:12.009] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.010] S-06: 전세 최종 응답 생성 시작 → [15:01:12.011] 전세 지역구 추천 서비스 완료 → [15:01:12.011] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-4,15:01:12.163,15:01:12.164,5586,293,5.2,25,8660,SUCCESS_NORMAL,[15:01:12.163] === Bottleneck Point 시작 === → [15:01:12.163] 총 소요 시간: 5586ms → [15:01:12.163] RDB 조회 시간: 293ms (5.2%) → [15:01:12.163] RDB 호출 횟수: 25회 → [15:01:12.163] 총 매물 수: 8660건 → [15:01:12.163] === Bottleneck Point 종료 === → [15:01:12.163] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.164] S-06: 전세 최종 응답 생성 시작 → [15:01:12.164] 전세 지역구 추천 서비스 완료 → [15:01:12.164] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-5,15:01:12.013,15:01:12.016,5419,314,5.8,25,8660,SUCCESS_NORMAL,[15:01:12.013] === Bottleneck Point 시작 === → [15:01:12.014] 총 소요 시간: 5419ms → [15:01:12.014] RDB 조회 시간: 314ms (5.8%) → [15:01:12.014] RDB 호출 횟수: 25회 → [15:01:12.014] 총 매물 수: 8660건 → [15:01:12.014] === Bottleneck Point 종료 === → [15:01:12.014] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.015] S-06: 전세 최종 응답 생성 시작 → [15:01:12.015] 전세 지역구 추천 서비스 완료 → [15:01:12.016] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-6,15:01:12.135,15:01:12.137,5538,355,6.4,25,8660,SUCCESS_NORMAL,[15:01:12.135] === Bottleneck Point 시작 === → [15:01:12.135] 총 소요 시간: 5538ms → [15:01:12.135] RDB 조회 시간: 355ms (6.4%) → [15:01:12.135] RDB 호출 횟수: 25회 → [15:01:12.135] 총 매물 수: 8660건 → [15:01:12.135] === Bottleneck Point 종료 === → [15:01:12.135] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.136] S-06: 전세 최종 응답 생성 시작 → [15:01:12.137] 전세 지역구 추천 서비스 완료 → [15:01:12.137] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-7,15:01:12.151,15:01:12.152,5513,388,7.0,25,8660,SUCCESS_NORMAL,[15:01:12.151] === Bottleneck Point 시작 === → [15:01:12.151] 총 소요 시간: 5513ms → [15:01:12.151] RDB 조회 시간: 388ms (7.0%) → [15:01:12.151] RDB 호출 횟수: 25회 → [15:01:12.151] 총 매물 수: 8660건 → [15:01:12.151] === Bottleneck Point 종료 === → [15:01:12.151] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.152] S-06: 전세 최종 응답 생성 시작 → [15:01:12.152] 전세 지역구 추천 서비스 완료 → [15:01:12.152] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-8,15:01:11.989,15:01:11.992,5409,364,6.7,25,8660,SUCCESS_NORMAL,[15:01:11.989] === Bottleneck Point 시작 === → [15:01:11.989] 총 소요 시간: 5409ms → [15:01:11.990] RDB 조회 시간: 364ms (6.7%) → [15:01:11.990] RDB 호출 횟수: 25회 → [15:01:11.990] 총 매물 수: 8660건 → [15:01:11.990] === Bottleneck Point 종료 === → [15:01:11.990] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:11.991] S-06: 전세 최종 응답 생성 시작 → [15:01:11.992] 전세 지역구 추천 서비스 완료 → [15:01:11.992] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-9,15:01:12.167,15:01:12.169,5584,350,6.3,25,8660,SUCCESS_NORMAL,[15:01:12.167] === Bottleneck Point 시작 === → [15:01:12.167] 총 소요 시간: 5584ms → [15:01:12.167] RDB 조회 시간: 350ms (6.3%) → [15:01:12.167] RDB 호출 횟수: 25회 → [15:01:12.168] 총 매물 수: 8660건 → [15:01:12.168] === Bottleneck Point 종료 === → [15:01:12.168] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.168] S-06: 전세 최종 응답 생성 시작 → [15:01:12.169] 전세 지역구 추천 서비스 완료 → [15:01:12.169] 추천 요청 완료 - 상태: SUCCESS_NORMAL
exec-10,15:01:12.175,15:01:12.176,5602,353,6.3,25,8660,SUCCESS_NORMAL,[15:01:12.175] === Bottleneck Point 시작 === → [15:01:12.175] 총 소요 시간: 5602ms → [15:01:12.175] RDB 조회 시간: 353ms (6.3%) → [15:01:12.175] RDB 호출 횟수: 25회 → [15:01:12.175] 총 매물 수: 8660건 → [15:01:12.175] === Bottleneck Point 종료 === → [15:01:12.175] S-05: 지역구 점수 계산 및 정렬 시작 → [15:01:12.175] S-06: 전세 최종 응답 생성 시작 → [15:01:12.176] 전세 지역구 추천 서비스 완료 → [15:01:12.176] 추천 요청 완료 - 상태: SUCCESS_NORMAL
