thread_name,timestamp,log_level,version,total_time_ms,rdb_time_ms,rdb_percentage,rdb_call_count,status,completion_timestamp,line_number
http-nio-8185-exec-2,16:34:46.439,WARN,2.1.1,5209,1044,20.0,1,SUCCESS_NORMAL,16:34:46.448,200
http-nio-8185-exec-24,16:34:46.496,WARN,2.1.1,5268,1051,20.0,1,SUCCESS_NORMAL,16:34:46.498,209
http-nio-8185-exec-49,16:34:46.502,WARN,2.1.1,5275,1048,19.9,1,SUCCESS_NORMAL,16:34:46.504,218
http-nio-8185-exec-38,16:34:46.513,WARN,2.1.1,5286,1049,19.8,1,SUCCESS_NORMAL,16:34:46.516,227
http-nio-8185-exec-16,16:34:46.534,WARN,2.1.1,5305,1048,19.8,1,SUCCESS_NORMAL,16:34:46.535,237
http-nio-8185-exec-46,16:34:46.534,WARN,2.1.1,5305,1049,19.8,1,SUCCESS_NORMAL,16:34:46.535,236
http-nio-8185-exec-25,16:34:46.559,WARN,2.1.1,5332,1038,19.5,1,SUCCESS_NORMAL,16:34:46.561,254
http-nio-8185-exec-18,16:34:46.639,WARN,2.1.1,5411,1050,19.4,1,SUCCESS_NORMAL,16:34:46.641,263
http-nio-8185-exec-22,16:34:46.666,WARN,2.1.1,5439,1038,19.1,1,SUCCESS_NORMAL,16:34:46.668,272
http-nio-8185-exec-47,16:34:46.673,WARN,2.1.1,5446,1046,19.2,1,SUCCESS_NORMAL,16:34:46.676,281
http-nio-8185-exec-32,16:34:46.991,WARN,2.1.1,5757,1413,24.5,1,SUCCESS_NORMAL,16:34:46.993,290
http-nio-8185-exec-27,16:34:47.033,WARN,2.1.1,5799,1546,26.7,1,SUCCESS_NORMAL,16:34:47.035,299
http-nio-8185-exec-10,16:34:47.120,WARN,2.1.1,5887,1585,26.9,1,SUCCESS_NORMAL,16:34:47.122,308
http-nio-8185-exec-30,16:34:47.152,WARN,2.1.1,5922,1542,26.0,1,SUCCESS_NORMAL,16:34:47.154,317
http-nio-8185-exec-1,16:34:47.176,WARN,2.1.1,5945,1551,26.1,1,SUCCESS_NORMAL,16:34:47.179,326
http-nio-8185-exec-43,16:34:47.191,WARN,2.1.1,5957,1549,26.0,1,SUCCESS_NORMAL,16:34:47.193,335
http-nio-8185-exec-14,16:34:47.220,WARN,2.1.1,5986,1583,26.4,1,SUCCESS_NORMAL,16:34:47.222,344
http-nio-8185-exec-50,16:34:47.252,WARN,2.1.1,6015,1730,28.8,1,SUCCESS_NORMAL,16:34:47.254,353
http-nio-8185-exec-4,16:34:47.262,WARN,2.1.1,6025,1669,27.7,1,SUCCESS_NORMAL,16:34:47.264,362
http-nio-8185-exec-39,16:34:47.274,WARN,2.1.1,6038,1667,27.6,1,SUCCESS_NORMAL,16:34:47.276,371
http-nio-8185-exec-13,16:34:47.301,WARN,2.1.1,6068,1584,26.1,1,SUCCESS_NORMAL,16:34:47.303,380
http-nio-8185-exec-23,16:34:47.388,WARN,2.1.1,6153,1639,26.6,1,SUCCESS_NORMAL,16:34:47.396,389
http-nio-8185-exec-29,16:34:47.393,WARN,2.1.1,6163,1582,25.7,1,SUCCESS_NORMAL,16:34:47.395,396
http-nio-8185-exec-7,16:34:47.419,WARN,2.1.1,6191,1591,25.7,1,SUCCESS_NORMAL,16:34:47.421,407
http-nio-8185-exec-5,16:34:47.445,WARN,2.1.1,6205,1891,30.5,1,SUCCESS_NORMAL,16:34:47.446,416
http-nio-8185-exec-26,16:34:47.454,WARN,2.1.1,6214,1907,30.7,1,SUCCESS_NORMAL,16:34:47.456,426
http-nio-8185-exec-3,16:34:47.454,WARN,2.1.1,6217,1862,30.0,1,SUCCESS_NORMAL,16:34:47.456,425
http-nio-8185-exec-12,16:34:47.463,WARN,2.1.1,6223,1912,30.7,1,SUCCESS_NORMAL,16:34:47.465,443
http-nio-8185-exec-45,16:34:47.470,WARN,2.1.1,6231,1913,30.7,1,SUCCESS_NORMAL,16:34:47.472,452
http-nio-8185-exec-9,16:34:47.476,WARN,2.1.1,6238,1894,30.4,1,SUCCESS_NORMAL,16:34:47.478,461
http-nio-8185-exec-19,16:34:47.483,WARN,2.1.1,6244,1892,30.3,1,SUCCESS_NORMAL,16:34:47.484,470
http-nio-8185-exec-15,16:34:47.487,WARN,2.1.1,6246,1914,30.6,1,SUCCESS_NORMAL,16:34:47.490,479
http-nio-8185-exec-37,16:34:47.489,WARN,2.1.1,6248,1929,30.9,1,SUCCESS_NORMAL,16:34:47.491,486
http-nio-8185-exec-17,16:34:47.506,WARN,2.1.1,6266,1912,30.5,1,SUCCESS_NORMAL,16:34:47.509,509
http-nio-8185-exec-33,16:34:47.506,WARN,2.1.1,6262,2138,34.1,1,SUCCESS_NORMAL,16:34:47.509,503
http-nio-8185-exec-41,16:34:47.506,WARN,2.1.1,6265,2066,33.0,1,SUCCESS_NORMAL,16:34:47.507,497
http-nio-8185-exec-28,16:34:47.513,WARN,2.1.1,6270,2139,34.1,1,SUCCESS_NORMAL,16:34:47.514,524
http-nio-8185-exec-42,16:34:47.525,WARN,2.1.1,6283,2251,35.8,1,SUCCESS_NORMAL,16:34:47.527,533
http-nio-8185-exec-8,16:34:47.526,WARN,2.1.1,6283,2140,34.1,1,SUCCESS_NORMAL,16:34:47.527,535
http-nio-8185-exec-21,16:34:47.527,WARN,2.1.1,6283,2263,36.0,1,SUCCESS_NORMAL,16:34:47.528,545
http-nio-8185-exec-44,16:34:47.527,WARN,2.1.1,6282,2273,36.2,1,SUCCESS_NORMAL,16:34:47.529,564
http-nio-8185-exec-6,16:34:47.527,WARN,2.1.1,6284,2274,36.2,1,SUCCESS_NORMAL,16:34:47.529,557
http-nio-8185-exec-34,16:34:47.532,WARN,2.1.1,6288,2264,36.0,1,SUCCESS_NORMAL,16:34:47.534,579
http-nio-8185-exec-35,16:34:47.532,WARN,2.1.1,6285,2342,37.3,1,SUCCESS_NORMAL,16:34:47.534,578
http-nio-8185-exec-48,16:34:47.532,WARN,2.1.1,6290,2204,35.0,1,SUCCESS_NORMAL,16:34:47.534,581
http-nio-8185-exec-11,16:34:47.536,WARN,2.1.1,6290,2298,36.5,1,SUCCESS_NORMAL,16:34:47.539,606
http-nio-8185-exec-36,16:34:47.536,WARN,2.1.1,6291,2293,36.4,1,SUCCESS_NORMAL,16:34:47.538,605
http-nio-8185-exec-40,16:34:47.536,WARN,2.1.1,6294,2138,34.0,1,SUCCESS_NORMAL,16:34:47.538,607
http-nio-8185-exec-31,16:34:47.537,WARN,2.1.1,6291,2303,36.6,1,SUCCESS_NORMAL,16:34:47.539,623
http-nio-8185-exec-20,16:34:47.539,WARN,2.1.1,6294,2307,36.7,1,SUCCESS_NORMAL,16:34:47.540,641
