thread_name,execution_count,avg_total_time_ms,min_total_time_ms,max_total_time_ms,avg_rdb_time_ms,min_rdb_time_ms,max_rdb_time_ms,avg_rdb_percentage,min_rdb_percentage,max_rdb_percentage
http-nio-8185-exec-1,1,5945.0,5945,5945,1551.0,1551,1551,26.1,26.1,26.1
http-nio-8185-exec-10,1,5887.0,5887,5887,1585.0,1585,1585,26.9,26.9,26.9
http-nio-8185-exec-11,1,6290.0,6290,6290,2298.0,2298,2298,36.5,36.5,36.5
http-nio-8185-exec-12,1,6223.0,6223,6223,1912.0,1912,1912,30.7,30.7,30.7
http-nio-8185-exec-13,1,6068.0,6068,6068,1584.0,1584,1584,26.1,26.1,26.1
http-nio-8185-exec-14,1,5986.0,5986,5986,1583.0,1583,1583,26.4,26.4,26.4
http-nio-8185-exec-15,1,6246.0,6246,6246,1914.0,1914,1914,30.6,30.6,30.6
http-nio-8185-exec-16,1,5305.0,5305,5305,1048.0,1048,1048,19.8,19.8,19.8
http-nio-8185-exec-17,1,6266.0,6266,6266,1912.0,1912,1912,30.5,30.5,30.5
http-nio-8185-exec-18,1,5411.0,5411,5411,1050.0,1050,1050,19.4,19.4,19.4
http-nio-8185-exec-19,1,6244.0,6244,6244,1892.0,1892,1892,30.3,30.3,30.3
http-nio-8185-exec-2,1,5209.0,5209,5209,1044.0,1044,1044,20.0,20.0,20.0
http-nio-8185-exec-20,1,6294.0,6294,6294,2307.0,2307,2307,36.7,36.7,36.7
http-nio-8185-exec-21,1,6283.0,6283,6283,2263.0,2263,2263,36.0,36.0,36.0
http-nio-8185-exec-22,1,5439.0,5439,5439,1038.0,1038,1038,19.1,19.1,19.1
http-nio-8185-exec-23,1,6153.0,6153,6153,1639.0,1639,1639,26.6,26.6,26.6
http-nio-8185-exec-24,1,5268.0,5268,5268,1051.0,1051,1051,20.0,20.0,20.0
http-nio-8185-exec-25,1,5332.0,5332,5332,1038.0,1038,1038,19.5,19.5,19.5
http-nio-8185-exec-26,1,6214.0,6214,6214,1907.0,1907,1907,30.7,30.7,30.7
http-nio-8185-exec-27,1,5799.0,5799,5799,1546.0,1546,1546,26.7,26.7,26.7
http-nio-8185-exec-28,1,6270.0,6270,6270,2139.0,2139,2139,34.1,34.1,34.1
http-nio-8185-exec-29,1,6163.0,6163,6163,1582.0,1582,1582,25.7,25.7,25.7
http-nio-8185-exec-3,1,6217.0,6217,6217,1862.0,1862,1862,30.0,30.0,30.0
http-nio-8185-exec-30,1,5922.0,5922,5922,1542.0,1542,1542,26.0,26.0,26.0
http-nio-8185-exec-31,1,6291.0,6291,6291,2303.0,2303,2303,36.6,36.6,36.6
http-nio-8185-exec-32,1,5757.0,5757,5757,1413.0,1413,1413,24.5,24.5,24.5
http-nio-8185-exec-33,1,6262.0,6262,6262,2138.0,2138,2138,34.1,34.1,34.1
http-nio-8185-exec-34,1,6288.0,6288,6288,2264.0,2264,2264,36.0,36.0,36.0
http-nio-8185-exec-35,1,6285.0,6285,6285,2342.0,2342,2342,37.3,37.3,37.3
http-nio-8185-exec-36,1,6291.0,6291,6291,2293.0,2293,2293,36.4,36.4,36.4
http-nio-8185-exec-37,1,6248.0,6248,6248,1929.0,1929,1929,30.9,30.9,30.9
http-nio-8185-exec-38,1,5286.0,5286,5286,1049.0,1049,1049,19.8,19.8,19.8
http-nio-8185-exec-39,1,6038.0,6038,6038,1667.0,1667,1667,27.6,27.6,27.6
http-nio-8185-exec-4,1,6025.0,6025,6025,1669.0,1669,1669,27.7,27.7,27.7
http-nio-8185-exec-40,1,6294.0,6294,6294,2138.0,2138,2138,34.0,34.0,34.0
http-nio-8185-exec-41,1,6265.0,6265,6265,2066.0,2066,2066,33.0,33.0,33.0
http-nio-8185-exec-42,1,6283.0,6283,6283,2251.0,2251,2251,35.8,35.8,35.8
http-nio-8185-exec-43,1,5957.0,5957,5957,1549.0,1549,1549,26.0,26.0,26.0
http-nio-8185-exec-44,1,6282.0,6282,6282,2273.0,2273,2273,36.2,36.2,36.2
http-nio-8185-exec-45,1,6231.0,6231,6231,1913.0,1913,1913,30.7,30.7,30.7
http-nio-8185-exec-46,1,5305.0,5305,5305,1049.0,1049,1049,19.8,19.8,19.8
http-nio-8185-exec-47,1,5446.0,5446,5446,1046.0,1046,1046,19.2,19.2,19.2
http-nio-8185-exec-48,1,6290.0,6290,6290,2204.0,2204,2204,35.0,35.0,35.0
http-nio-8185-exec-49,1,5275.0,5275,5275,1048.0,1048,1048,19.9,19.9,19.9
http-nio-8185-exec-5,1,6205.0,6205,6205,1891.0,1891,1891,30.5,30.5,30.5
http-nio-8185-exec-50,1,6015.0,6015,6015,1730.0,1730,1730,28.8,28.8,28.8
http-nio-8185-exec-6,1,6284.0,6284,6284,2274.0,2274,2274,36.2,36.2,36.2
http-nio-8185-exec-7,1,6191.0,6191,6191,1591.0,1591,1591,25.7,25.7,25.7
http-nio-8185-exec-8,1,6283.0,6283,6283,2140.0,2140,2140,34.1,34.1,34.1
http-nio-8185-exec-9,1,6238.0,6238,6238,1894.0,1894,1894,30.4,30.4,30.4
