line_number,timestamp,thread,log_level,class_name,bottleneck_version,total_duration_ms,rdb_time_ms,rdb_time_percent,rdb_call_count,raw_header
732,2026-01-07 13:04:36.336,http-nio-8185-exec-11,INFO,c.w.r.s.CharterRecommendationService,2.1.1,182,50,27.5,1,2026-01-07 13:04:36.336 [http-nio-8185-exec-11] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
768,2026-01-07 13:04:36.390,http-nio-8185-exec-20,INFO,c.w.r.s.CharterRecommendationService,2.1.1,202,26,12.9,1,2026-01-07 13:04:36.390 [http-nio-8185-exec-20] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
777,2026-01-07 13:04:36.397,http-nio-8185-exec-13,INFO,c.w.r.s.CharterRecommendationService,2.1.1,205,41,20.0,1,2026-01-07 13:04:36.397 [http-nio-8185-exec-13] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
779,2026-01-07 13:04:36.397,http-nio-8185-exec-2,INFO,c.w.r.s.CharterRecommendationService,2.1.1,150,16,10.7,1,2026-01-07 13:04:36.397 [http-nio-8185-exec-2] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
804,2026-01-07 13:04:36.401,http-nio-8185-exec-12,INFO,c.w.r.s.CharterRecommendationService,2.1.1,157,23,14.6,1,2026-01-07 13:04:36.401 [http-nio-8185-exec-12] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
795,2026-01-07 13:04:36.401,http-nio-8185-exec-6,INFO,c.w.r.s.CharterRecommendationService,2.1.1,231,63,27.3,1,2026-01-07 13:04:36.401 [http-nio-8185-exec-6] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
813,2026-01-07 13:04:36.412,http-nio-8185-exec-1,INFO,c.w.r.s.CharterRecommendationService,2.1.1,153,16,10.5,1,2026-01-07 13:04:36.412 [http-nio-8185-exec-1] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
822,2026-01-07 13:04:36.434,http-nio-8185-exec-4,INFO,c.w.r.s.CharterRecommendationService,2.1.1,226,41,18.1,1,2026-01-07 13:04:36.434 [http-nio-8185-exec-4] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
824,2026-01-07 13:04:36.434,http-nio-8185-exec-7,INFO,c.w.r.s.CharterRecommendationService,2.1.1,201,39,19.4,1,2026-01-07 13:04:36.434 [http-nio-8185-exec-7] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
838,2026-01-07 13:04:36.436,http-nio-8185-exec-3,INFO,c.w.r.s.CharterRecommendationService,2.1.1,165,22,13.3,1,2026-01-07 13:04:36.436 [http-nio-8185-exec-3] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
849,2026-01-07 13:04:36.440,http-nio-8185-exec-18,INFO,c.w.r.s.CharterRecommendationService,2.1.1,187,36,19.3,1,2026-01-07 13:04:36.440 [http-nio-8185-exec-18] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
858,2026-01-07 13:04:36.442,http-nio-8185-exec-5,INFO,c.w.r.s.CharterRecommendationService,2.1.1,248,50,20.2,1,2026-01-07 13:04:36.442 [http-nio-8185-exec-5] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
876,2026-01-07 13:04:36.448,http-nio-8185-exec-9,INFO,c.w.r.s.CharterRecommendationService,2.1.1,183,31,16.9,1,2026-01-07 13:04:36.448 [http-nio-8185-exec-9] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
867,2026-01-07 13:04:36.448,http-nio-8185-exec-14,INFO,c.w.r.s.CharterRecommendationService,2.1.1,140,12,8.6,1,2026-01-07 13:04:36.448 [http-nio-8185-exec-14] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
892,2026-01-07 13:04:36.468,http-nio-8185-exec-19,INFO,c.w.r.s.CharterRecommendationService,2.1.1,191,21,11.0,1,2026-01-07 13:04:36.468 [http-nio-8185-exec-19] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
885,2026-01-07 13:04:36.468,http-nio-8185-exec-16,INFO,c.w.r.s.CharterRecommendationService,2.1.1,188,40,21.3,1,2026-01-07 13:04:36.468 [http-nio-8185-exec-16] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
903,2026-01-07 13:04:36.468,http-nio-8185-exec-10,INFO,c.w.r.s.CharterRecommendationService,2.1.1,160,35,21.9,1,2026-01-07 13:04:36.468 [http-nio-8185-exec-10] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
912,2026-01-07 13:04:36.480,http-nio-8185-exec-17,INFO,c.w.r.s.CharterRecommendationService,2.1.1,233,48,20.6,1,2026-01-07 13:04:36.480 [http-nio-8185-exec-17] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
921,2026-01-07 13:04:36.482,http-nio-8185-exec-15,INFO,c.w.r.s.CharterRecommendationService,2.1.1,203,64,31.5,1,2026-01-07 13:04:36.482 [http-nio-8185-exec-15] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
930,2026-01-07 13:04:36.496,http-nio-8185-exec-8,INFO,c.w.r.s.CharterRecommendationService,2.1.1,209,94,45.0,1,2026-01-07 13:04:36.496 [http-nio-8185-exec-8] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1] ===
