line_number,timestamp,thread,log_level,class_name,bottleneck_version,total_duration_ms,rdb_time_ms,rdb_time_percent,rdb_call_count,raw_header
724,2026-01-08 15:33:52.542,http-nio-8185-exec-12,INFO,c.w.r.s.CharterRecommendationService,2.1.1,169,40,23.7,1,2026-01-08 15:33:52.542 [http-nio-8185-exec-12] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
752,2026-01-08 15:33:52.579,http-nio-8185-exec-10,INFO,c.w.r.s.CharterRecommendationService,2.1.1,123,10,8.1,1,2026-01-08 15:33:52.579 [http-nio-8185-exec-10] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
774,2026-01-08 15:33:52.594,http-nio-8185-exec-17,INFO,c.w.r.s.CharterRecommendationService,2.1.1,206,50,24.3,1,2026-01-08 15:33:52.594 [http-nio-8185-exec-17] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
783,2026-01-08 15:33:52.598,http-nio-8185-exec-19,INFO,c.w.r.s.CharterRecommendationService,2.1.1,136,9,6.6,1,2026-01-08 15:33:52.598 [http-nio-8185-exec-19] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
792,2026-01-08 15:33:52.601,http-nio-8185-exec-9,INFO,c.w.r.s.CharterRecommendationService,2.1.1,205,24,11.7,1,2026-01-08 15:33:52.601 [http-nio-8185-exec-9] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
801,2026-01-08 15:33:52.603,http-nio-8185-exec-16,INFO,c.w.r.s.CharterRecommendationService,2.1.1,203,44,21.7,1,2026-01-08 15:33:52.603 [http-nio-8185-exec-16] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
810,2026-01-08 15:33:52.608,http-nio-8185-exec-8,INFO,c.w.r.s.CharterRecommendationService,2.1.1,210,44,21.0,1,2026-01-08 15:33:52.608 [http-nio-8185-exec-8] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
819,2026-01-08 15:33:52.612,http-nio-8185-exec-4,INFO,c.w.r.s.CharterRecommendationService,2.1.1,140,9,6.4,1,2026-01-08 15:33:52.612 [http-nio-8185-exec-4] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
835,2026-01-08 15:33:52.622,http-nio-8185-exec-11,INFO,c.w.r.s.CharterRecommendationService,2.1.1,211,38,18.0,1,2026-01-08 15:33:52.622 [http-nio-8185-exec-11] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
828,2026-01-08 15:33:52.622,http-nio-8185-exec-3,INFO,c.w.r.s.CharterRecommendationService,2.1.1,161,28,17.4,1,2026-01-08 15:33:52.622 [http-nio-8185-exec-3] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
846,2026-01-08 15:33:52.642,http-nio-8185-exec-6,INFO,c.w.r.s.CharterRecommendationService,2.1.1,190,44,23.2,1,2026-01-08 15:33:52.642 [http-nio-8185-exec-6] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
