thread_name,timestamp,log_level,version,version_type,total_time_ms,rdb_time_ms,rdb_percentage,rdb_type,rdb_call_count,execution_type,status,completion_timestamp,line_number
http-nio-8185-exec-29,15:46:37.803,WARN,2.1.1,Chunking,3523,162,4.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:37.804,1916
http-nio-8185-exec-34,15:46:37.816,WARN,2.1.1,Chunking,3528,144,4.1,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:37.817,1925
http-nio-8185-exec-2,15:46:37.886,WARN,2.1.1,Chunking,3604,147,4.1,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:37.887,1934
http-nio-8185-exec-40,15:46:37.941,WARN,2.1.1,Chunking,3655,166,4.5,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:37.943,1943
http-nio-8185-exec-51,15:46:37.976,WARN,2.1.1,Chunking,3669,180,4.9,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:37.977,1952
http-nio-8185-exec-50,15:46:38.123,WARN,2.1.1,Chunking,3798,171,4.5,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.124,1961
http-nio-8185-exec-57,15:46:38.389,WARN,2.1.1,Chunking,4015,191,4.8,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.389,1970
http-nio-8185-exec-74,15:46:38.605,WARN,2.1.1,Chunking,4194,183,4.4,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.610,1979
http-nio-8185-exec-61,15:46:38.650,WARN,2.1.1,Chunking,4242,309,7.3,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.650,1988
http-nio-8185-exec-52,15:46:38.685,WARN,2.1.1,Chunking,4397,389,8.8,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.691,1997
http-nio-8185-exec-70,15:46:38.708,WARN,2.1.1,Chunking,4285,379,8.8,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.708,2006
http-nio-8185-exec-82,15:46:38.856,WARN,2.1.1,Chunking,4424,311,7.0,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.856,2015
http-nio-8185-exec-65,15:46:38.867,WARN,2.1.1,Chunking,4426,372,8.4,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.869,2024
http-nio-8185-exec-83,15:46:38.878,WARN,2.1.1,Chunking,4447,373,8.4,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.881,2033
http-nio-8185-exec-81,15:46:38.902,WARN,2.1.1,Chunking,4510,419,9.3,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.906,2042
http-nio-8185-exec-58,15:46:38.925,WARN,2.1.1,Chunking,4497,385,8.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.928,2052
http-nio-8185-exec-64,15:46:38.925,WARN,2.1.1,Chunking,4505,495,11.0,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.928,2051
http-nio-8185-exec-69,15:46:38.935,WARN,2.1.1,Chunking,4524,466,10.3,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.939,2069
http-nio-8185-exec-24,15:46:38.953,WARN,2.1.1,Chunking,4580,440,9.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.953,2080
http-nio-8185-exec-45,15:46:38.953,WARN,2.1.1,Chunking,4566,547,12.0,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.953,2078
http-nio-8185-exec-16,15:46:38.987,WARN,2.1.1,Chunking,4691,682,14.5,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.994,2125
http-nio-8185-exec-68,15:46:38.987,WARN,2.1.1,Chunking,4551,547,12.0,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.987,2096
http-nio-8185-exec-76,15:46:38.987,WARN,2.1.1,Chunking,4564,566,12.4,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.987,2098
http-nio-8185-exec-78,15:46:38.987,WARN,2.1.1,Chunking,4546,594,13.1,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.987,2114
http-nio-8185-exec-79,15:46:38.987,WARN,2.1.1,Chunking,4560,588,12.9,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.994,2123
http-nio-8185-exec-30,15:46:38.997,WARN,2.1.1,Chunking,4623,681,14.7,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:38.999,2141
http-nio-8185-exec-53,15:46:38.999,WARN,2.1.1,Chunking,4561,468,10.3,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.003,2156
http-nio-8185-exec-89,15:46:38.999,WARN,2.1.1,Chunking,4561,744,16.3,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.003,2150
http-nio-8185-exec-71,15:46:39.013,WARN,2.1.1,Chunking,4576,760,16.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.013,2169
http-nio-8185-exec-84,15:46:39.013,WARN,2.1.1,Chunking,4580,670,14.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.020,2186
http-nio-8185-exec-90,15:46:39.013,WARN,2.1.1,Chunking,4581,760,16.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.013,2168
http-nio-8185-exec-88,15:46:39.022,WARN,2.1.1,Chunking,4588,689,15.0,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.027,2195
http-nio-8185-exec-1,15:46:39.027,WARN,2.1.1,Chunking,4644,829,17.9,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.041,2225
http-nio-8185-exec-55,15:46:39.027,WARN,2.1.1,Chunking,4632,670,14.5,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.027,2213
http-nio-8185-exec-66,15:46:39.027,WARN,2.1.1,Chunking,4604,728,15.8,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.027,2204
http-nio-8185-exec-72,15:46:39.027,WARN,2.1.1,Chunking,4591,773,16.8,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.027,2222
http-nio-8185-exec-80,15:46:39.027,WARN,2.1.1,Chunking,4595,568,12.4,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.027,2231
http-nio-8185-exec-86,15:46:39.027,WARN,2.1.1,Chunking,4587,668,14.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.042,2237
http-nio-8185-exec-60,15:46:39.047,WARN,2.1.1,Chunking,4615,744,16.1,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.050,2258
http-nio-8185-exec-73,15:46:39.047,WARN,2.1.1,Chunking,4636,643,13.9,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.050,2260
http-nio-8185-exec-54,15:46:39.050,WARN,2.1.1,Chunking,4620,784,17.0,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.053,2276
http-nio-8185-exec-56,15:46:39.053,WARN,2.1.1,Chunking,4650,784,16.9,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.057,2287
http-nio-8185-exec-67,15:46:39.053,WARN,2.1.1,Chunking,4641,771,16.6,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.057,2285
http-nio-8185-exec-62,15:46:39.060,WARN,2.1.1,Chunking,4652,802,17.2,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.063,2312
http-nio-8185-exec-77,15:46:39.060,WARN,2.1.1,Chunking,4626,743,16.1,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.063,2313
http-nio-8185-exec-87,15:46:39.060,WARN,2.1.1,Chunking,4630,756,16.3,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.060,2303
http-nio-8185-exec-59,15:46:39.063,WARN,2.1.1,Chunking,4631,761,16.4,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.067,2332
http-nio-8185-exec-63,15:46:39.063,WARN,2.1.1,Chunking,4681,783,16.7,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.067,2330
http-nio-8185-exec-75,15:46:39.067,WARN,2.1.1,Chunking,4645,807,17.4,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.069,2348
http-nio-8185-exec-85,15:46:39.067,WARN,2.1.1,Chunking,4631,810,17.5,Chunk Sum,9,Chunk,SUCCESS_NORMAL,15:46:39.069,2349
