thread_name,execution_count,version_types,avg_total_time_ms,min_total_time_ms,max_total_time_ms,avg_rdb_time_ms,min_rdb_time_ms,max_rdb_time_ms,avg_rdb_percentage,min_rdb_percentage,max_rdb_percentage,avg_rdb_call_count,min_rdb_call_count,max_rdb_call_count,rdb_types_used
http-nio-8185-exec-1,1,Chunking,4644.0,4644,4644,829.0,829,829,17.9,17.9,17.9,9.0,9,9,Chunk Sum
http-nio-8185-exec-16,1,Chunking,4691.0,4691,4691,682.0,682,682,14.5,14.5,14.5,9.0,9,9,Chunk Sum
http-nio-8185-exec-2,1,Chunking,3604.0,3604,3604,147.0,147,147,4.1,4.1,4.1,9.0,9,9,Chunk Sum
http-nio-8185-exec-24,1,Chunking,4580.0,4580,4580,440.0,440,440,9.6,9.6,9.6,9.0,9,9,Chunk Sum
http-nio-8185-exec-29,1,Chunking,3523.0,3523,3523,162.0,162,162,4.6,4.6,4.6,9.0,9,9,Chunk Sum
http-nio-8185-exec-30,1,Chunking,4623.0,4623,4623,681.0,681,681,14.7,14.7,14.7,9.0,9,9,Chunk Sum
http-nio-8185-exec-34,1,Chunking,3528.0,3528,3528,144.0,144,144,4.1,4.1,4.1,9.0,9,9,Chunk Sum
http-nio-8185-exec-40,1,Chunking,3655.0,3655,3655,166.0,166,166,4.5,4.5,4.5,9.0,9,9,Chunk Sum
http-nio-8185-exec-45,1,Chunking,4566.0,4566,4566,547.0,547,547,12.0,12.0,12.0,9.0,9,9,Chunk Sum
http-nio-8185-exec-50,1,Chunking,3798.0,3798,3798,171.0,171,171,4.5,4.5,4.5,9.0,9,9,Chunk Sum
http-nio-8185-exec-51,1,Chunking,3669.0,3669,3669,180.0,180,180,4.9,4.9,4.9,9.0,9,9,Chunk Sum
http-nio-8185-exec-52,1,Chunking,4397.0,4397,4397,389.0,389,389,8.8,8.8,8.8,9.0,9,9,Chunk Sum
http-nio-8185-exec-53,1,Chunking,4561.0,4561,4561,468.0,468,468,10.3,10.3,10.3,9.0,9,9,Chunk Sum
