line_number,timestamp,thread,log_level,class_name,pool_name,log_type,total,active,idle,waiting,connection_wrapper,close_reason,message,raw_log
23,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.957 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
24,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.962 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
25,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.962 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
26,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.962 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
27,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.962 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
28,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.962 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
80,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.962 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
99,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.972 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
124,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.975 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
158,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,19,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)","15:46:34.978 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=19)"
186,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,10,0,18,,,"HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=18)","15:46:34.982 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=10, idle=0, waiting=18)"
193,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,18,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=18)","15:46:34.984 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=18)"
200,46:35.0,HikariPool-1 connection adder,DEBUG,com.zaxxer.hikari.pool.HikariPool,HikariPool-1,CONNECTION_NOT_ADDED,10,9,1,18,,,"HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=18)","15:46:34.984 [HikariPool-1 connection adder] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Connection not added, stats (total=10, active=9, idle=1, waiting=18)"
