line_number,timestamp,thread,log_level,class_name,bottleneck_version,total_duration_ms,rdb_time_ms,rdb_time_percent,rdb_call_count,raw_header
2882,2026-01-08 19:27:16.131,http-nio-8185-exec-5,INFO,c.w.r.s.CharterRecommendationService,2.1.1,165,94,57.0,10,2026-01-08 19:27:16.131 [http-nio-8185-exec-5] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
3060,2026-01-08 19:27:16.140,http-nio-8185-exec-12,INFO,c.w.r.s.CharterRecommendationService,2.1.1,80,13,16.3,3,2026-01-08 19:27:16.140 [http-nio-8185-exec-12] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
3355,2026-01-08 19:27:16.160,http-nio-8185-exec-17,INFO,c.w.r.s.CharterRecommendationService,2.1.1,172,53,30.8,12,2026-01-08 19:27:16.160 [http-nio-8185-exec-17] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
3769,2026-01-08 19:27:16.183,http-nio-8185-exec-16,INFO,c.w.r.s.CharterRecommendationService,2.1.1,143,70,49.0,6,2026-01-08 19:27:16.183 [http-nio-8185-exec-16] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
3949,2026-01-08 19:27:16.204,http-nio-8185-exec-11,INFO,c.w.r.s.CharterRecommendationService,2.1.1,132,47,35.6,4,2026-01-08 19:27:16.204 [http-nio-8185-exec-11] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
4725,2026-01-08 19:27:16.290,http-nio-8185-exec-6,INFO,c.w.r.s.CharterRecommendationService,2.1.1,197,68,34.5,5,2026-01-08 19:27:16.290 [http-nio-8185-exec-6] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
4806,2026-01-08 19:27:16.300,http-nio-8185-exec-13,INFO,c.w.r.s.CharterRecommendationService,2.1.1,225,69,30.7,11,2026-01-08 19:27:16.300 [http-nio-8185-exec-13] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
4954,2026-01-08 19:27:16.318,http-nio-8185-exec-18,INFO,c.w.r.s.CharterRecommendationService,2.1.1,258,118,45.7,11,2026-01-08 19:27:16.318 [http-nio-8185-exec-18] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
5083,2026-01-08 19:27:16.346,http-nio-8185-exec-3,INFO,c.w.r.s.CharterRecommendationService,2.1.1,370,181,48.9,34,2026-01-08 19:27:16.346 [http-nio-8185-exec-3] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
5134,2026-01-08 19:27:16.356,http-nio-8185-exec-15,INFO,c.w.r.s.CharterRecommendationService,2.1.1,282,126,44.7,12,2026-01-08 19:27:16.356 [http-nio-8185-exec-15] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
5149,2026-01-08 19:27:16.357,http-nio-8185-exec-7,INFO,c.w.r.s.CharterRecommendationService,2.1.1,357,201,56.3,30,2026-01-08 19:27:16.357 [http-nio-8185-exec-7] INFO  c.w.r.s.CharterRecommendationService - === [Bottleneck Resolved: 2.1.1 (Chunking)] ===
