line_number,timestamp,thread,log_level,class_name,pool_name,log_type,total,active,idle,waiting,connection_wrapper,close_reason,config_key,config_value,raw_log
52,2026-01-08 19:20:22.448,main,DEBUG,com.zaxxer.hikari.HikariConfig,,DRIVER_LOADED,,,,,,,,,2026-01-08 19:20:22.448 [main] DEBUG com.zaxxer.hikari.HikariConfig - Driver class com.p6spy.engine.spy.P6SpyDriver found in Thread context class loader jdk.internal.loader.ClassLoaders$AppClassLoader@63947c6b
57,2026-01-08 19:20:22.849,main,WARN,com.zaxxer.hikari.HikariConfig,HikariPool-1,CONFIG_WARNING,,,,,,,,,"2026-01-08 19:20:22.849 [main] WARN  com.zaxxer.hikari.HikariConfig - HikariPool-1 - keepaliveTime is less than 30000ms, disabling it."
58,2026-01-08 19:20:22.850,main,WARN,com.zaxxer.hikari.HikariConfig,HikariPool-1,CONFIG_WARNING,,,,,,,,,2026-01-08 19:20:22.850 [main] WARN  com.zaxxer.hikari.HikariConfig - HikariPool-1 - idleTimeout has been set but has no effect because the pool is operating as a fixed size pool.
59,2026-01-08 19:20:22.850,main,DEBUG,com.zaxxer.hikari.HikariConfig,HikariPool-1,CONFIG_HEADER,,,,,,,,,2026-01-08 19:20:22.850 [main] DEBUG com.zaxxer.hikari.HikariConfig - HikariPool-1 - configuration:
60,2026-01-08 19:20:22.852,main,DEBUG,com.zaxxer.hikari.HikariConfig,,CONFIG_SETTING,,,,,,,allowPoolSuspension,false,2026-01-08 19:20:22.852 [main] DEBUG com.zaxxer.hikari.HikariConfig - allowPoolSuspension.............false
61,2026-01-08 19:20:22.852,main,DEBUG,com.zaxxer.hikari.HikariConfig,,CONFIG_SETTING,,,,,,,autoCommit,false,2026-01-08 19:20:22.852 [main] DEBUG com.zaxxer.hikari.HikariConfig - autoCommit......................false
62,2026-01-08 19:20:22.852,main,DEBUG,com.zaxxer.hikari.HikariConfig,,CONFIG_SETTING,,,,,,,catalog,none,2026-01-08 19:20:22.852 [main] DEBUG com.zaxxer.hikari.HikariConfig - catalog.........................none
63,2026-01-08 19:20:22.852,main,DEBUG,com.zaxxer.hikari.HikariConfig,,CONFIG_SETTING,,,,,,,connectionInitSql,none,2026-01-08 19:20:22.852 [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionInitSql...............none
64,2026-01-08 19:20:22.852,main,DEBUG,com.zaxxer.hikari.HikariConfig,,CONFIG_SETTING,,,,,,,connectionTestQuery,none,2026-01-08 19:20:22.852 [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionTestQuery.............none
65,2026-01-08 19:20:22.852,main,DEBUG,com.zaxxer.hikari.HikariConfig,,CONFIG_SETTING,,,,,,,connectionTimeout,30000,2026-01-08 19:20:22.852 [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionTimeout...............30000
