번호,시각,스레드,소요시간(ms),SQL타입,커넥션ID,테이블,SQL(200자)
1,2025-12-17 21:08:49.538,main,2,SELECT,1,DUAL,"select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual"
2,2025-12-17 21:08:49.566,main,25,SELECT,1,DUAL,"select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')"
3,2025-12-17 21:08:57.973,scheduling-1,4,SELECT,1,PROPERTIES_CHARTER,"select pc1_0.PROPERTY_ID,pc1_0.ADDRESS,pc1_0.APT_NM,pc1_0.AREA_IN_PYEONG,pc1_0.BUILD_YEAR,pc1_0.DEAL_DATE,pc1_0.DEPOSIT,pc1_0.DISTRICT_NAME,pc1_0.EXCLU_USE_AR,pc1_0.FLOOR,pc1_0.JIBUN,pc1_0.LAST_UPDATE"
4,2025-12-17 21:08:57.973,scheduling-1,5,SELECT,14,PROPERTIES_CHARTER,"select pc1_0.PROPERTY_ID,pc1_0.ADDRESS,pc1_0.APT_NM,pc1_0.AREA_IN_PYEONG,pc1_0.BUILD_YEAR,pc1_0.DEAL_DATE,pc1_0.DEPOSIT,pc1_0.DISTRICT_NAME,pc1_0.EXCLU_USE_AR,pc1_0.FLOOR,pc1_0.JIBUN,pc1_0.LAST_UPDATE"
5,2025-12-17 21:08:59.010,scheduling-1,1,SELECT,1,PROPERTIES_MONTHLY,"select pm1_0.PROPERTY_ID,pm1_0.ADDRESS,pm1_0.APT_NM,pm1_0.AREA_IN_PYEONG,pm1_0.BUILD_YEAR,pm1_0.DEAL_DATE,pm1_0.DEPOSIT,pm1_0.DISTRICT_NAME,pm1_0.EXCLU_USE_AR,pm1_0.FLOOR,pm1_0.JIBUN,pm1_0.LAST_UPDATE"
6,2025-12-17 21:08:59.010,scheduling-1,1,SELECT,15,PROPERTIES_MONTHLY,"select pm1_0.PROPERTY_ID,pm1_0.ADDRESS,pm1_0.APT_NM,pm1_0.AREA_IN_PYEONG,pm1_0.BUILD_YEAR,pm1_0.DEAL_DATE,pm1_0.DEPOSIT,pm1_0.DISTRICT_NAME,pm1_0.EXCLU_USE_AR,pm1_0.FLOOR,pm1_0.JIBUN,pm1_0.LAST_UPDATE"
7,2025-12-17 21:09:08.598,scheduling-1,0,SELECT,1,ANALYSIS_CRIME_STATISTICS,"select acs1_0.DISTRICT_NAME,acs1_0.TOTAL_OCCURRENCE,acs1_0.TOTAL_ARREST,acs1_0.MURDER_OCCURRENCE,acs1_0.MURDER_ARREST,acs1_0.ROBBERY_OCCURRENCE,acs1_0.ROBBERY_ARREST,acs1_0.SEXUAL_CRIME_OCCURRENCE,acs"
8,2025-12-17 21:09:08.599,scheduling-1,0,SELECT,16,ANALYSIS_CRIME_STATISTICS,"select acs1_0.DISTRICT_NAME,acs1_0.TOTAL_OCCURRENCE,acs1_0.TOTAL_ARREST,acs1_0.MURDER_OCCURRENCE,acs1_0.MURDER_ARREST,acs1_0.ROBBERY_OCCURRENCE,acs1_0.ROBBERY_ARREST,acs1_0.SEXUAL_CRIME_OCCURRENCE,acs"
9,2025-12-17 21:09:08.639,scheduling-1,0,SELECT,1,ANALYSIS_POPULATION_DENSITY,"SELECT     p.DISTRICT_NAME,     p.POPULATION_COUNT FROM ANALYSIS_POPULATION_DENSITY p WHERE p.YEAR = (SELECT MAX(YEAR) FROM ANALYSIS_POPULATION_DENSITY) ORDER BY p.POPULATION_COUNT DESC"
10,2025-12-17 21:09:08.639,scheduling-1,0,SELECT,17,ANALYSIS_POPULATION_DENSITY,"SELECT     p.DISTRICT_NAME,     p.POPULATION_COUNT FROM ANALYSIS_POPULATION_DENSITY p WHERE p.YEAR = (SELECT MAX(YEAR) FROM ANALYSIS_POPULATION_DENSITY) ORDER BY p.POPULATION_COUNT DESC"
