번호,시각,스레드,소요시간(ms),SQL타입,커넥션ID,테이블,SQL(200자)
1,2025-12-17 19:19:55.608,main,2,SELECT,1,DUAL,"select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual"
2,2025-12-17 19:19:55.638,main,26,SELECT,1,DUAL,"select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')"
3,2025-12-17 19:20:03.961,scheduling-1,3,SELECT,1,PROPERTIES_CHARTER,"select pc1_0.PROPERTY_ID,pc1_0.ADDRESS,pc1_0.APT_NM,pc1_0.AREA_IN_PYEONG,pc1_0.BUILD_YEAR,pc1_0.DEAL_DATE,pc1_0.DEPOSIT,pc1_0.DISTRICT_NAME,pc1_0.EXCLU_USE_AR,pc1_0.FLOOR,pc1_0.JIBUN,pc1_0.LAST_UPDATE"
4,2025-12-17 19:20:03.961,scheduling-1,3,SELECT,14,PROPERTIES_CHARTER,"select pc1_0.PROPERTY_ID,pc1_0.ADDRESS,pc1_0.APT_NM,pc1_0.AREA_IN_PYEONG,pc1_0.BUILD_YEAR,pc1_0.DEAL_DATE,pc1_0.DEPOSIT,pc1_0.DISTRICT_NAME,pc1_0.EXCLU_USE_AR,pc1_0.FLOOR,pc1_0.JIBUN,pc1_0.LAST_UPDATE"
5,2025-12-17 19:20:04.911,scheduling-1,0,SELECT,1,PROPERTIES_MONTHLY,"select pm1_0.PROPERTY_ID,pm1_0.ADDRESS,pm1_0.APT_NM,pm1_0.AREA_IN_PYEONG,pm1_0.BUILD_YEAR,pm1_0.DEAL_DATE,pm1_0.DEPOSIT,pm1_0.DISTRICT_NAME,pm1_0.EXCLU_USE_AR,pm1_0.FLOOR,pm1_0.JIBUN,pm1_0.LAST_UPDATE"
6,2025-12-17 19:20:04.911,scheduling-1,0,SELECT,15,PROPERTIES_MONTHLY,"select pm1_0.PROPERTY_ID,pm1_0.ADDRESS,pm1_0.APT_NM,pm1_0.AREA_IN_PYEONG,pm1_0.BUILD_YEAR,pm1_0.DEAL_DATE,pm1_0.DEPOSIT,pm1_0.DISTRICT_NAME,pm1_0.EXCLU_USE_AR,pm1_0.FLOOR,pm1_0.JIBUN,pm1_0.LAST_UPDATE"
7,2025-12-17 19:20:13.531,scheduling-1,0,SELECT,1,ANALYSIS_CRIME_STATISTICS,"select acs1_0.DISTRICT_NAME,acs1_0.TOTAL_OCCURRENCE,acs1_0.TOTAL_ARREST,acs1_0.MURDER_OCCURRENCE,acs1_0.MURDER_ARREST,acs1_0.ROBBERY_OCCURRENCE,acs1_0.ROBBERY_ARREST,acs1_0.SEXUAL_CRIME_OCCURRENCE,acs"
8,2025-12-17 19:20:13.531,scheduling-1,0,SELECT,16,ANALYSIS_CRIME_STATISTICS,"select acs1_0.DISTRICT_NAME,acs1_0.TOTAL_OCCURRENCE,acs1_0.TOTAL_ARREST,acs1_0.MURDER_OCCURRENCE,acs1_0.MURDER_ARREST,acs1_0.ROBBERY_OCCURRENCE,acs1_0.ROBBERY_ARREST,acs1_0.SEXUAL_CRIME_OCCURRENCE,acs"
9,2025-12-17 19:20:13.575,scheduling-1,0,SELECT,1,ANALYSIS_POPULATION_DENSITY,"SELECT     p.DISTRICT_NAME,     p.POPULATION_COUNT FROM ANALYSIS_POPULATION_DENSITY p WHERE p.YEAR = (SELECT MAX(YEAR) FROM ANALYSIS_POPULATION_DENSITY) ORDER BY p.POPULATION_COUNT DESC"
10,2025-12-17 19:20:13.575,scheduling-1,0,SELECT,17,ANALYSIS_POPULATION_DENSITY,"SELECT     p.DISTRICT_NAME,     p.POPULATION_COUNT FROM ANALYSIS_POPULATION_DENSITY p WHERE p.YEAR = (SELECT MAX(YEAR) FROM ANALYSIS_POPULATION_DENSITY) ORDER BY p.POPULATION_COUNT DESC"
11,2025-12-17 19:20:13.594,scheduling-1,10,SELECT,1,ANALYSIS_ENTERTAINMENT_STATISTICS,"SELECT district, COUNT(*) AS count FROM (     SELECT         CASE             WHEN REGEXP_SUBSTR(e.ROAD_ADDRESS, '서울특별시\s*(강남구|강동구|강북구|강서구|관악구|광진구|구로구|금천구|노원구|도봉구|동대문구|동작구|마포구|서대문구|서초구|성동구|성북구|송파구|양천구"
12,2025-12-17 19:20:13.595,scheduling-1,11,SELECT,18,ANALYSIS_ENTERTAINMENT_STATISTICS,"SELECT district, COUNT(*) AS count FROM (     SELECT         CASE             WHEN REGEXP_SUBSTR(e.ROAD_ADDRESS, '서울특별시\s*(강남구|강동구|강북구|강서구|관악구|광진구|구로구|금천구|노원구|도봉구|동대문구|동작구|마포구|서대문구|서초구|성동구|성북구|송파구|양천구"
13,2025-12-17 19:20:20.044,http-nio-8185-exec-37,14,SELECT,3,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
14,2025-12-17 19:20:20.044,http-nio-8185-exec-37,14,SELECT,24,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
15,2025-12-17 19:20:20.044,http-nio-8185-exec-41,14,SELECT,2,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
16,2025-12-17 19:20:20.044,http-nio-8185-exec-41,14,SELECT,25,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
17,2025-12-17 19:20:20.046,http-nio-8185-exec-21,16,SELECT,4,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
18,2025-12-17 19:20:20.046,http-nio-8185-exec-50,16,SELECT,9,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
19,2025-12-17 19:20:20.046,http-nio-8185-exec-2,16,SELECT,8,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
20,2025-12-17 19:20:20.046,http-nio-8185-exec-21,16,SELECT,23,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
21,2025-12-17 19:20:20.046,http-nio-8185-exec-31,16,SELECT,1,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
22,2025-12-17 19:20:20.046,http-nio-8185-exec-2,16,SELECT,26,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
23,2025-12-17 19:20:20.046,http-nio-8185-exec-47,16,SELECT,7,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
24,2025-12-17 19:20:20.046,http-nio-8185-exec-26,16,SELECT,10,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
25,2025-12-17 19:20:20.046,http-nio-8185-exec-31,16,SELECT,20,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
26,2025-12-17 19:20:20.046,http-nio-8185-exec-50,16,SELECT,27,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
27,2025-12-17 19:20:20.046,http-nio-8185-exec-47,16,SELECT,19,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
28,2025-12-17 19:20:20.046,http-nio-8185-exec-26,16,SELECT,28,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
29,2025-12-17 19:20:20.046,http-nio-8185-exec-29,16,SELECT,6,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
30,2025-12-17 19:20:20.046,http-nio-8185-exec-43,16,SELECT,5,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
31,2025-12-17 19:20:20.047,http-nio-8185-exec-29,16,SELECT,22,"PROPERTIES_CHARTER, PROPERTIES_MONTHLY",SELECT property_id FROM properties_charter WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%' UNION ALL SELECT property_id FROM properties_monthly WHERE apt_nm LIKE '%관악산 삼성산 주공 3단지%'
