번호,시각,스레드,쿼리소요(ms),전체소요(ms),병목비중(%),입력값,결과건수
1,20:20.0,http-nio-8185-exec-31,25,90,27.8,관악산 삼성산 주공 3단지,1
2,20:20.0,http-nio-8185-exec-43,26,90,28.9,관악산 삼성산 주공 3단지,1
3,20:20.0,http-nio-8185-exec-37,24,90,26.7,관악산 삼성산 주공 3단지,1
4,20:20.0,http-nio-8185-exec-26,26,89,29.2,관악산 삼성산 주공 3단지,1
5,20:20.0,http-nio-8185-exec-47,25,89,28.1,관악산 삼성산 주공 3단지,1
6,20:20.0,http-nio-8185-exec-29,26,89,29.2,관악산 삼성산 주공 3단지,1
7,20:20.0,http-nio-8185-exec-41,24,90,26.7,관악산 삼성산 주공 3단지,1
8,20:20.0,http-nio-8185-exec-2,25,90,27.8,관악산 삼성산 주공 3단지,1
9,20:20.0,http-nio-8185-exec-21,25,90,27.8,관악산 삼성산 주공 3단지,1
10,20:20.0,http-nio-8185-exec-50,25,90,27.8,관악산 삼성산 주공 3단지,1
11,20:20.1,http-nio-8185-exec-36,20,27,74.1,관악산 삼성산 주공 3단지,1
12,20:20.1,http-nio-8185-exec-32,20,28,71.4,관악산 삼성산 주공 3단지,1
13,20:20.1,http-nio-8185-exec-9,19,28,67.9,관악산 삼성산 주공 3단지,1
14,20:20.1,http-nio-8185-exec-7,20,28,71.4,관악산 삼성산 주공 3단지,1
15,20:20.1,http-nio-8185-exec-44,18,28,64.3,관악산 삼성산 주공 3단지,1
16,20:20.1,http-nio-8185-exec-8,20,28,71.4,관악산 삼성산 주공 3단지,1
17,20:20.1,http-nio-8185-exec-30,19,28,67.9,관악산 삼성산 주공 3단지,1
18,20:20.1,http-nio-8185-exec-40,19,28,67.9,관악산 삼성산 주공 3단지,1
19,20:20.1,http-nio-8185-exec-6,19,29,65.5,관악산 삼성산 주공 3단지,1
20,20:20.1,http-nio-8185-exec-14,19,29,65.5,관악산 삼성산 주공 3단지,1
21,20:20.2,http-nio-8185-exec-12,21,29,72.4,관악산 삼성산 주공 3단지,1
22,20:20.2,http-nio-8185-exec-49,22,29,75.9,관악산 삼성산 주공 3단지,1
23,20:20.2,http-nio-8185-exec-17,21,30,70,관악산 삼성산 주공 3단지,1
24,20:20.2,http-nio-8185-exec-34,26,34,76.5,관악산 삼성산 주공 3단지,1
25,20:20.2,http-nio-8185-exec-24,26,34,76.5,관악산 삼성산 주공 3단지,1
26,20:20.2,http-nio-8185-exec-23,26,37,70.3,관악산 삼성산 주공 3단지,1
27,20:20.2,http-nio-8185-exec-28,29,40,72.5,관악산 삼성산 주공 3단지,1
28,20:20.2,http-nio-8185-exec-11,33,43,76.7,관악산 삼성산 주공 3단지,1
29,20:20.2,http-nio-8185-exec-16,35,46,76.1,관악산 삼성산 주공 3단지,1
30,20:20.2,http-nio-8185-exec-38,23,29,79.3,관악산 삼성산 주공 3단지,1
31,20:20.2,http-nio-8185-exec-4,21,27,77.8,관악산 삼성산 주공 3단지,1
32,20:20.2,http-nio-8185-exec-5,49,59,83.1,관악산 삼성산 주공 3단지,1
33,20:20.2,http-nio-8185-exec-48,21,28,75,관악산 삼성산 주공 3단지,1
34,20:20.2,http-nio-8185-exec-19,22,28,78.6,관악산 삼성산 주공 3단지,1
35,20:20.2,http-nio-8185-exec-25,45,52,86.5,관악산 삼성산 주공 3단지,1
36,20:20.2,http-nio-8185-exec-3,29,36,80.6,관악산 삼성산 주공 3단지,1
37,20:20.2,http-nio-8185-exec-18,38,46,82.6,관악산 삼성산 주공 3단지,1
38,20:20.2,http-nio-8185-exec-20,36,44,81.8,관악산 삼성산 주공 3단지,1
39,20:20.2,http-nio-8185-exec-22,26,34,76.5,관악산 삼성산 주공 3단지,1
40,20:20.2,http-nio-8185-exec-42,24,31,77.4,관악산 삼성산 주공 3단지,1
41,20:20.2,http-nio-8185-exec-15,26,31,83.9,관악산 삼성산 주공 3단지,1
42,20:20.2,http-nio-8185-exec-39,27,33,81.8,관악산 삼성산 주공 3단지,1
43,20:20.2,http-nio-8185-exec-35,36,50,72,관악산 삼성산 주공 3단지,1
44,20:20.2,http-nio-8185-exec-1,41,49,83.7,관악산 삼성산 주공 3단지,1
45,20:20.3,http-nio-8185-exec-45,25,31,80.6,관악산 삼성산 주공 3단지,1
46,20:20.3,http-nio-8185-exec-46,33,39,84.6,관악산 삼성산 주공 3단지,1
47,20:20.3,http-nio-8185-exec-27,21,27,77.8,관악산 삼성산 주공 3단지,1
48,20:20.3,http-nio-8185-exec-33,31,39,79.5,관악산 삼성산 주공 3단지,1
49,20:20.3,http-nio-8185-exec-10,33,39,84.6,관악산 삼성산 주공 3단지,1
50,20:20.3,http-nio-8185-exec-13,25,34,73.5,관악산 삼성산 주공 3단지,1
