번호,시각,스레드,쿼리소요(ms),전체소요(ms),병목비중(%),입력값,결과건수
1,2025-12-17 21:09:16.079,http-nio-8185-exec-20,24,77,31.2,관악산 삼성산 주공 3단지,1
2,2025-12-17 21:09:16.079,http-nio-8185-exec-50,24,82,29.3,관악산 삼성산 주공 3단지,1
3,2025-12-17 21:09:16.079,http-nio-8185-exec-6,24,82,29.3,관악산 삼성산 주공 3단지,1
4,2025-12-17 21:09:16.079,http-nio-8185-exec-45,24,83,28.9,관악산 삼성산 주공 3단지,1
5,2025-12-17 21:09:16.079,http-nio-8185-exec-19,24,82,29.3,관악산 삼성산 주공 3단지,1
6,2025-12-17 21:09:16.079,http-nio-8185-exec-37,24,82,29.3,관악산 삼성산 주공 3단지,1
7,2025-12-17 21:09:16.079,http-nio-8185-exec-27,24,83,28.9,관악산 삼성산 주공 3단지,1
8,2025-12-17 21:09:16.079,http-nio-8185-exec-32,24,84,28.6,관악산 삼성산 주공 3단지,1
9,2025-12-17 21:09:16.079,http-nio-8185-exec-30,24,83,28.9,관악산 삼성산 주공 3단지,1
10,2025-12-17 21:09:16.079,http-nio-8185-exec-42,24,83,28.9,관악산 삼성산 주공 3단지,1
11,2025-12-17 21:09:16.133,http-nio-8185-exec-41,1,11,9.1,관악산 삼성산 주공 3단지,1
12,2025-12-17 21:09:16.138,http-nio-8185-exec-33,1,7,14.3,관악산 삼성산 주공 3단지,1
13,2025-12-17 21:09:16.139,http-nio-8185-exec-12,2,7,28.6,관악산 삼성산 주공 3단지,1
14,2025-12-17 21:09:16.138,http-nio-8185-exec-7,1,7,14.3,관악산 삼성산 주공 3단지,1
15,2025-12-17 21:09:16.138,http-nio-8185-exec-44,2,8,25.0,관악산 삼성산 주공 3단지,1
16,2025-12-17 21:09:16.138,http-nio-8185-exec-5,1,8,12.5,관악산 삼성산 주공 3단지,1
17,2025-12-17 21:09:16.138,http-nio-8185-exec-35,1,9,11.1,관악산 삼성산 주공 3단지,1
18,2025-12-17 21:09:16.140,http-nio-8185-exec-10,2,9,22.2,관악산 삼성산 주공 3단지,1
19,2025-12-17 21:09:16.140,http-nio-8185-exec-8,3,9,33.3,관악산 삼성산 주공 3단지,1
