timestamp,thread,task,version,property_id,operation,final_review_count,final_avg_rating,method_total_elapsed_ms,redis_read_elapsed_ms,redis_read_ratio_percent,compute_elapsed_ns,compute_ratio_percent,persist_elapsed_ms,persist_ratio_percent
2025-12-19 20:33:28.901,http-nio-8185-exec-1,TASK_1,V2_INCREMENTAL,94cc9332fc563819f37e0947eefe3634,UPDATE,1,4.0,4.96,2.58,52.1,423300,8.5,0.63,12.7
2025-12-19 20:33:34.112,http-nio-8185-exec-2,TASK_1,V2_INCREMENTAL,4946dde4b54da695692a0927a4548dfb,UPDATE,1,4.0,1.1,0.44,39.5,2201,0.2,0.3,27.0
2025-12-19 20:33:38.993,http-nio-8185-exec-4,TASK_1,V2_INCREMENTAL,3ba1d0d29ef3b9432e09901f16e2e85d,UPDATE,1,4.0,1.08,0.41,37.7,3001,0.3,0.3,27.6
2025-12-19 20:33:42.732,http-nio-8185-exec-5,TASK_1,V2_INCREMENTAL,45ec86ddbd6c69095dd90b21b5d1e53c,UPDATE,1,4.0,1.28,0.4,31.2,1900,0.1,0.53,41.6
2025-12-19 20:33:46.439,http-nio-8185-exec-6,TASK_1,V2_INCREMENTAL,7ac6fa3aa251136ba5e6fccf3196a09e,UPDATE,1,4.0,1.12,0.38,34.0,2100,0.2,0.4,35.6
2025-12-19 20:33:50.448,http-nio-8185-exec-3,TASK_1,V2_INCREMENTAL,815b7115f9ae25d17a0bbd6511b933b5,UPDATE,1,4.0,1.02,0.46,45.5,1700,0.2,0.29,28.1
2025-12-19 20:33:54.442,http-nio-8185-exec-7,TASK_1,V2_INCREMENTAL,43392cb84e5a2cb568a500728447dcf0,UPDATE,1,4.0,1.13,0.45,39.6,2200,0.2,0.34,30.5
2025-12-19 20:33:58.134,http-nio-8185-exec-8,TASK_1,V2_INCREMENTAL,9787fbe6d4c2e3f5f13567b8c262b4b2,UPDATE,1,4.0,1.0,0.42,41.9,2099,0.2,0.32,31.7
2025-12-19 20:34:01.600,http-nio-8185-exec-10,TASK_1,V2_INCREMENTAL,56c2bccdf1fbeb5faed79f68c1b345c1,UPDATE,1,4.0,1.19,0.47,40.0,2600,0.2,0.4,33.3
2025-12-19 20:34:05.860,http-nio-8185-exec-9,TASK_1,V2_INCREMENTAL,49f081dea4cdfa75541a40b8ac8285c4,UPDATE,1,4.0,1.11,0.4,36.3,2800,0.3,0.35,31.3
