개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y)
3220000,PHMA220253220033021200001,2025-04-29,,1,영업/정상,13,영업중,,,,,02-6204-1004,378.02,,서울특별시 강남구 논현동 5-4,"서울특별시 강남구 도산대로 138, 13층 (논현동)",6039,리페이스치과병원,2025-04-29 17:56,I,01:00.0,치과병원,202030.3911,446137.6676
3210000,PHMA220233210034021200001,2023-06-27,,1,영업/정상,13,영업중,,,,,,2474.69,,"서울특별시 서초구 방배동 936-12 지하1층일부,2~5층","서울특별시 서초구 방배로 151, 지하1층일부,2~5층 (방배동)",6672,척바른병원,2025-07-11 11:08,U,03:00.0,병원,199360.5829,442777.8062
3240000,PHMA220253240033021200001,2025-06-23,,1,영업/정상,13,영업중,,,,,02-6485-1234,1793.17,,서울특별시 강동구 성내동 77-27,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",5378,123스텝업병원,2025-07-08 8:52,U,00:00.0,병원,210848.8173,448349.3213
3230000,PHMA220193230034021200005,2019-07-01,,1,영업/정상,13,영업중,,,,,02-2222-8100,4307.51,,,"서울특별시 송파구 법원로11길 32, 지하2~1층, 지상5~11층,13층 (문정동)",5836,대전대학교서울한방병원,2025-07-07 17:18,U,09:00.0,한방병원,,
3080000,PHMA220253080033021200001,2025-07-29,,1,영업/정상,13,영업중,,,,,,793.04,,"서울특별시 강북구 번동 418-13 2,3층","서울특별시 강북구 오패산로 414, 2,3층 (번동)",1063,365매일한방병원,2025-09-01 14:14,U,03:00.0,한방병원,202257.0413,459476.7735
3210000,PHMA220193210034021200002,2010-08-16,,1,영업/정상,13,영업중,,,,,02-526-0821,4661.03,,서울특별시 서초구 서초동 1677번지 8호 프로비스타,"서울특별시 서초구 서초대로 338, 프로비스타 지하1층 지상2~8층 (서초동)",6632,모커리한방병원,2025-07-11 11:00,U,03:00.0,한방병원,201577.6533,443623.6
3240000,PHMA220183240033021200001,2018-02-22,,1,영업/정상,13,영업중,,,,,02-1577-0082,4272.11,,,서울특별시 강동구 천호대로 1151 (길동),5356,고은빛여성병원,2025-08-20 14:32,U,03:00.0,병원,212244.5325,447998.3268
3230000,PHMA220173230034021200003,2017-04-07,,1,영업/정상,13,영업중,,,,,02-2284-2001,4921.19,,"서울특별시 송파구 송파동 135번지 3호 4,14,15","서울특별시 송파구 백제고분로 436 (송파동, 서재곤링커병원)",5662,서재곤링커병원,2025-04-25 16:07,U,07:00.0,병원,209831.1353,445251.2706
3220000,PHMA219833220033021200002,1983-04-04,,1,영업/정상,13,영업중,,,,,02-2019-3114,88093.68,,서울특별시 강남구 도곡동 146-92 강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",6273,연세대학교의과대학 강남세브란스병원,2025-07-28 18:20,U,00:00.0,종합병원,204044.9151,443372.9217
3230000,PHMA219983230034021201568,1998-03-30,,1,영업/정상,13,영업중,,,,,02-2147-6000,4875.62,,서울특별시 송파구 석촌동 174번지 13호 한솔병원,"서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)",5616,한솔병원,2025-07-07 17:17,U,09:00.0,병원,209295.3681,444879.1156
