개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
3060000,CDFF4220002009000007,2009-09-25,,1,영업/정상,13,영업중,,,,,02-3147-3891,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 7관,2025-03-04 19:58,U,06:00.0,,206526.0022,454549.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060000,CDFF4220002009000005,2009-09-25,,1,영업/정상,13,영업중,,,,,02-3147-3891,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 5관,2025-03-04 19:56,U,06:00.0,,206526.0022,454549.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060000,CDFF4220002009000006,2009-09-25,,1,영업/정상,13,영업중,,,,,02-3147-3891,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 6관,2025-03-04 19:57,U,06:00.0,,206526.0022,454549.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060000,CDFF4220002009000004,2009-09-25,,1,영업/정상,13,영업중,,,,,02-3147-3891,,,서울특별시 중랑구 상봉동 130-3 상봉뉴월드시네마 4층,서울특별시 중랑구 망우로30길 3 (상봉동),2120,메가박스중앙(주) 상봉지점 4관,2025-03-04 19:54,U,06:00.0,,206526.0022,454549.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002017000009,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제19관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002017000008,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제18관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002017000007,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제17관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002017000006,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제16관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002004000006,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제5관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002004000007,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제6관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002004000008,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제9관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002004000010,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제10관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002004000011,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제8관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020000,CDFF4220002017000001,2017-07-14,,1,영업/정상,13,영업중,,,,,02-2012-3002,,,서울특별시 용산구 한강로3가 40-961,"서울특별시 용산구 한강대로23길 55, 6층 (한강로3가, 현대아이파크몰)",4377,씨지브이 용산아이파크몰 제11관,2025-04-21 15:04,U,03:00.0,,196864.3606,447707.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080000,CDFF4220002012000004,2012-02-24,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강북구 수유동 168-12,"서울특별시 강북구 도봉로 399, 8층 (수유동)",1055,CGV 수유 7관,2025-04-23 9:20,U,05:00.0,,202565.2368,460003.1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240000,CDFF4220002025000007,2025-04-11,,1,영업/정상,13,영업중,,,,,1544-1122,,,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",5203,CGV고덕강일 5관,2025-04-11 10:21,I,03:00.0,,213847.9237,451564.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240000,CDFF4220002025000006,2025-04-11,,1,영업/정상,13,영업중,,,,,1544-1122,,,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",5203,CGV고덕강일 7관,2025-04-11 10:21,I,03:00.0,,213847.9237,451564.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240000,CDFF4220002025000005,2025-04-11,,1,영업/정상,13,영업중,,,,,1544-1122,,,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",5203,CGV고덕강일 4DX관,2025-04-11 10:22,I,03:00.0,,213847.9237,451564.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3240000,CDFF4220002025000004,2025-04-11,,1,영업/정상,13,영업중,,,,,1544-1122,,,서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",5203,CGV고덕강일 4관,2025-04-11 10:22,I,03:00.0,,213847.9237,451564.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
